ID Code,Tablet Name,Language,Object,Surface,Line Number,Original Text,Translation
P100065,AAS 078,sux,,,1,1(u) gin2 ku3-babbar,
P100065,AAS 078,sux,,,2,iti min-esz3-ta,
P100065,AAS 078,sux,,,3,u4 5(disz)-am3 zal-la,
P100065,AAS 078,sux,,,4,lugal-he2-gal2,
P100065,AAS 078,sux,,,5,in-la2-e-a,
P100065,AAS 078,sux,,,6,bi2-in-du11,
P100065,AAS 078,sux,,,7,tukum-bi nu-la2,
P100065,AAS 078,sux,,,1,2(u) sze [gur lugal],
P100065,AAS 078,sux,,,2,i3-ag2-e-a,
P100065,AAS 078,sux,,,3,mu lugal in-pa3,
P100065,AAS 078,sux,,,4,igi a-tu-sze3,
P100065,AAS 078,sux,,,5,igi ab-ba-gi-na-sze3#,
P100065,AAS 078,sux,,,6,igi lugal-nesag-e-sze3,
P100065,AAS 078,sux,,,7,iti min-esz3,
P100065,AAS 078,sux,,,8,mu {d}i-bi2-{d}suen lugal,
P100065,AAS 078,sux,,,1,lugal-he2-gal2,
P100065,AAS 078,sux,,,2,dub-sar,
P100065,AAS 078,sux,,,3,dumu ur-[...],
P100099,AAS 113,sux,,,1,1(ban2) kasz 1(ban2) [...],
P100099,AAS 113,sux,,,2,1(disz) sila3 [...],
P100099,AAS 113,sux,,,3,1(u)? [...] gesz,
P100099,AAS 113,sux,,,4,1(barig) kasz#? [...] x [...],
P100099,AAS 113,sux,,,5,3(ban2) [x],
P100099,AAS 113,sux,,,6,nam-ha-ni sagi,
P100099,AAS 113,sux,,,1,{d}gu-la,
P100099,AAS 113,sux,,,2,mu-da-gen-na-a,
P100099,AAS 113,sux,,,3,iti sze-kar-ra-gal2-la,
P100107,AAS 121,sux,,,1,1(disz) igi-sag szum2-ma,
P100107,AAS 121,sux,,,2,ki lu2-dingir-ra-ta,
P100107,AAS 121,sux,,,3,ur-am3-ma-ke4,
P100107,AAS 121,sux,,,4,su-su-dam,
P100107,AAS 121,sux,,,1,[...],
P100107,AAS 121,sux,,,2,[...] x,
P100107,AAS 121,sux,,,3,[...] mu#-ni-sze3#,
P100107,AAS 121,sux,,,4,iti sze#-sag11#-ku5,
P100107,AAS 121,sux,,,5,mu en eridu{ki} ba-hun,
